城市,就诊机构名称, 院边机构名称,院边机构本月是否可开
厦门,复旦大学附属中山医院厦门医院,厦门湖里瑞来春门诊部,已覆盖
,,厦门湖里和安门诊部,已覆盖
,,厦门湖里清林门诊部,已覆盖
,,厦门湖里齐安金尚门诊部有限公司,已覆盖
,厦门医学院附属第二医院,厦门集美石鼓门诊部,已覆盖
,,厦门集美博康门诊部,已覆盖
,,厦门集美浔江门诊部,已覆盖
,,厦门集美东江门诊部,已覆盖
,厦门大学附属第一医院同安院区,厦门同安闽济堂门诊部,已覆盖
,,厦门同安天福堂中医门诊部,已覆盖
,,厦门同安西桥门诊部,已覆盖
,,厦门同安居安堂中医门诊部,已覆盖
,,厦门同安灵燕中医门诊部,已覆盖
,厦门市中医院,厦门湖里瑞来春门诊部,已覆盖
,,厦门思明国尊堂门诊部,已覆盖
,,厦门湖里枋湖门诊部,已覆盖
,,厦门思明康健门诊部,已覆盖
,,厦门湖里和安门诊部,已覆盖
,,厦门思明景元门诊部,无内科科室进行处方
,,厦门思明宏仁堂门诊部,已覆盖
,,厦门湖里弘医堂门诊部,
,,厦门湖里齐安金尚门诊部有限公司,已覆盖
,,厦门思明大芙田门诊部,已覆盖
,,厦门湖里乾圣太和堂第五综合门诊部,无内科科室进行处方
,,厦门思明鹭海门诊部,已覆盖
,,厦门思明德丰堂斗西门诊部,已覆盖
,厦门医学院附属第二医院海沧分院,厦门海沧清华门诊部,已覆盖
,四川大学华西厦门医院,厦门集美康城综合门诊部有限公司,超账期无法开单
,厦门市仙岳医院,厦门思明新鹭厦门诊部,已覆盖
,,厦门思明扶正堂中医门诊部,已覆盖
,,厦门思明晟东海门诊部,已覆盖
,,厦门思明国尊堂门诊部,已覆盖
,,厦门思明德丰堂福津门诊部有限公司,已覆盖
,,厦门湖里新医方门诊部,已覆盖
,,厦门思明宏仁堂门诊部,已覆盖
,,厦门思明康健门诊部,已覆盖
,,厦门湖里德丰堂门诊部,已覆盖
,,厦门思明大芙田门诊部,已覆盖
,,厦门湖里南山堂门诊部,已覆盖
,,厦门思明拯济堂第六中医门诊部,已覆盖
,,厦门思明齐安松柏门诊部,已覆盖
,,厦门湖里健民濠头门诊部,无内科科室进行处方
,厦门大学附属第一医院杏林分院,厦门集美兴医门诊部,已覆盖
,,厦门集美杏西门诊部,已覆盖
,,厦门集美杏林纺织门诊部,已覆盖
,,厦门集美杏南门诊部有限公司,已覆盖
,厦门市同安区中医医院厦门市同安区中医院,厦门同安西桥门诊部,已覆盖
,,厦门同安闽济堂门诊部,已覆盖
,,厦门同安灵燕中医门诊部,已覆盖
,,厦门同安天福堂中医门诊部,已覆盖
,,厦门同安居安堂中医门诊部,已覆盖
,厦门市康复医院,厦门思明国尊堂门诊部,已覆盖
,,厦门思明新鹭厦门诊部,已覆盖
,,厦门湖里新医方门诊部,已覆盖
,,厦门思明晟东海门诊部,已覆盖
,,厦门思明康健门诊部,已覆盖
,,厦门思明德丰堂福津门诊部有限公司,已覆盖
,,厦门思明宏仁堂门诊部,已覆盖
,,厦门思明拯济堂第六中医门诊部,已覆盖
,,厦门思明齐安松柏门诊部,已覆盖
,,厦门湖里德丰堂门诊部,已覆盖
,,厦门思明德丰堂斗西门诊部,已覆盖
,厦门大学附属第一医院,厦门思明定安门诊部有限公司,已覆盖
,,厦门思明金桥门诊部,已覆盖
,,厦门思明和祥门诊部,已覆盖
,,厦门思明汇济门诊部,已覆盖
,,厦门思明厦禾门诊部有限公司,已覆盖
,,厦门思明滨南门诊部,已覆盖
,,厦门思明东方门诊部,已覆盖
,,厦门思明华福门诊部,已覆盖
,厦门大学附属中山医院,厦门思明德丰堂门诊部,已覆盖
,,厦门思明汇聚丰门诊部,已覆盖
,,厦门思明齐安松柏门诊部,已覆盖
三明,三明市第一医院,三明市三元区列东街道江滨社区卫生服务站,已覆盖
,,三元区列东街道高岩、一路社区卫生服务站,
,,三元区列东街道梅岭、二路社区卫生服务站,
,,三元区列东街道圳尾社区卫生服务站,
,,三元区列东街道东新三路社区卫生服务站,
,,三元区列东街道沪明社区卫生服务站,已覆盖
,,三明市三元区城关街道社区卫生服务中心,已覆盖
,,三元区徐碧街道东乾社区卫生服务站,
,三明市第二医院,永安市燕东街道林业新村东盛社区卫生服务站,
,,永安市燕东街道东门社区医养结合卫生服务站,
,,燕南街道南塔社区卫生服务站,
,,永安市燕东街道忠义社区医养结合卫生服务站,
,,永安市燕南街道太平社区医养结合卫生服务站,
,,永安市燕西街道东坡社区医养结合卫生服务站,
,,永安市燕南街道五四社区卫生服务站,
,三明市中西医结合医院,三明市三元区城关街道红印山社区卫生服务站,
,,三明市三元区城关街道崇宁社区卫生服务站,
,,三元区富兴堡街道东霞社区卫生服务站,
,,三元区富兴堡街道富文社区医养结合卫生服务站,
,,三明市三元区白沙街道长安社区卫生服务站,已覆盖
,,三明市三元区城关街道建新社区医养结合卫生服务站,
,,三明市三元区城关街道芙蓉社区医养结合卫生服务站,
,,三元区城关街道新亭社区卫生服务站,
,,三明市三元区白沙街道台江社区医养结合卫生服务站,
,尤溪县总医院,尤溪县沈城社区卫生服务中心,
,,尤溪县西门社区医养结合卫生服务站,
,,尤溪县东街社区医养结合卫生服务站,已覆盖
,,尤溪县城东社区卫生服务中心,已覆盖
,,泰宁县城东社区卫生服务站,
,,尤溪县下水南社区医养结合卫生服务站,
,,尤溪县大儒名城社区医养结合卫生服务站,已覆盖
,大田县总医院,大田县文昌社区医养结合卫生服务站,
,,大田县东门社区卫生服务站,
,,大田县赤岩社区卫生服务站,
,,大田县均溪社区卫生服务中心,已覆盖
,,大田县均溪镇镇东社区卫生服务站,
,三明市沙县区总医院,三明市沙县区凤岗街道城东社区卫生服务站,
,,三明市沙县区凤岗街道西园社区卫生服务站,
,,三明市三元区城关街道凤岗社区卫生服务站,
,,"三明市沙县区虬江街道城南社区卫生服务站(三明
市沙县区虬江街道城南社区医养结合卫生服务站)",
,,"三明市沙县区虬江街道翠绿社区卫生服务站(三明
市沙县区虬江街道翠绿社区医养结合卫生服务站)",
,将乐县总医院,将乐县华山社区卫生服务站,
,建宁县总医院,新生社区卫生服务站,已覆盖
,,建宁县城区社区卫生服务中心,已覆盖
,泰宁县总医院,泰宁县杉城社区卫生服务中心,
,,泰宁县城东社区卫生服务站,
,明溪县总医院,明溪县雪峰社区卫生服务中心,已覆盖
,,明溪县城关卫生院,已覆盖
,宁化县总医院,宁化县城郊镇东山社区医养结合卫生服务站,
,,宁化县城郊镇滨江社区医养结合卫生服务站,
,,宁化县翠江镇双虹社区医养结合卫生服务站,
,清流县总医院,清流县龙津社区卫生服务中心,已覆盖
龙岩,福建省长汀县妇幼保健院,长汀县大同镇黄屋村第四卫生所,
,,长汀县大同镇黄屋村第一卫生所,
,,长汀县大同镇黄屋村第五卫生所,
,,长汀县大同镇黄屋村第二卫生所,
,,长汀县大同镇黄屋村第三卫生所,
,,长汀县大同镇黄屋村第七卫生所,已覆盖
,长汀县新桥中心卫生院,长汀县新桥镇新桥村第四卫生所,
,,长汀县新桥镇新桥村第二卫生所,已覆盖
,,长汀县新桥镇新桥村第八卫生所,
,长汀县南山卫生院,长汀县南山镇南山村第六卫生所,
,,长汀县南山镇南山村第三卫生所,已覆盖
,漳平市菁城社区卫生服务中心,漳平市菁城街道菁西社区卫生服务站,
,,邓炜西医内科诊所,已覆盖
,,潘晓冬西医内科诊所,
,漳平市永福中心卫生院,漳平市永福镇石洪村卫生所,已覆盖
,,漳平市永福镇后盂村第二卫生室,
,,漳平市永福镇福里村第一卫生室,
,,漳平市永福镇福里村第三卫生室,
,龙岩市第二医院,新罗爱莲说中医内科诊所,
,,新罗民康中医内科诊所,
,龙岩市永定区医院,龙岩市永定区凤城街道南郊卫生所,
,,龙岩永定林永盛内科诊所,已覆盖
,上杭县临江社区卫生服务中心,上杭临江黄銮香诊所,
,上杭县官庄畲族乡中心卫生院,上杭官庄村东环卫生室,
,,上杭官庄旺盛诊所,
,,上杭官庄官庄村卫生所,
,上杭县庐丰畲族乡卫生院,上杭庐丰丰康村丰康卫生室,已覆盖
,龙岩人民医院,谢翔岳中医内科诊所,已覆盖
,连城县医院,连城吴蓉荣内科诊所,已覆盖
,龙岩市中医院,欧贤明中医针炙科诊所,
,武平县医院,武平县西门中西医结合门诊部,已覆盖
,漳平市医院,郑秋萍妇科诊所,
,,许淑女内科诊所,
,,漳平市桂林街道上江社区卫生服务站,已覆盖
,,李寿淼中医诊所,
,上杭县中医院,上杭临江庆华堂诊所,
,武平县中医院,武平县西门中西医结合门诊部,已覆盖
,龙岩市永定区培丰镇卫生院,龙岩市永定区培丰镇大排村第四卫生室,
,龙岩市永定区抚市镇中心卫生院,龙岩市永定区抚市镇社前村第一卫生室,
莆田,福建省仙游县总医院,仙游城东医院,
,,仙游颐康医院,已覆盖
,,仙游县鲤城街道东门社区卫生服务站,
,莆田九十五医院,莆田福德医院,已覆盖
,,莆田九华医院,已覆盖
,,莆田市中医医院,已覆盖
,福建省莆田市秀屿区医院,秀屿社福医院,
,,秀屿笏石坝津詹志勇卫生室,
,,秀屿区笏石镇占国飞中西医结合诊所,
,莆田平民医院,莆田华侨医院,已覆盖
,,陈寿松中医诊所,
,,涵江李德锋内科诊所,
,福建省仙游县妇幼保健院,仙游南门妇产专科医院,
,,仙游博爱医院,已覆盖
,,仙游慈康中医医院,
,福建省莆田市涵江区中医院,涵江涵三门诊部,已覆盖
,,涵江新涵门诊部,
,莆田市城厢区医院,莆田阳光医院有限公司,
,,莆田城厢南方医院,
,莆田市涵江区涵东涵西街道社区卫生服务中心,涵江涵三门诊部,已覆盖
,莆田市湄洲湾北岸经济开发区忠门镇中心卫生院,莆田市湄洲湾北岸经济开发区东埔嘉华医院有限公司,
,仙游县榜头镇中心卫生院,仙游县榜头镇莲墘卫生所,
福州,福建省立医院,鼓楼区东街街道大根社区卫生服务站,作为省立引流备选
,,鼓楼区温泉街道金汤社区卫生服务站,已覆盖
,,鼓楼区鼓东街道开元社区卫生服务站,次选保留
,福州新增引流点（可共用）,晋安区王庄街道砌池社区卫生服务站,已覆盖
,福建医科大学附属第一医院,福州市台江区茶亭街道仁德社区卫生服务站,主选引流，机构确认特殊病种是否可以开具
,,福州市台江区茶亭街道阳光社区卫生服务站,第二次选，考虑是否可承接
,,福州市台江区新港街道利嘉城社区卫生服务站,第三次选
,解放军第九〇〇医院,鼓西街道后县社区卫生服务站,次选保留
,,仓山区建新镇观江社区卫生服务站,次选保留
,,仓山林桂香内科诊所,次选保留
,,仓山民健内科诊所,次选保留
,,鼓楼菁华崇辉中医门诊部,存在固有患者，优先次选
,,鼓楼区五凤街道白龙社区卫生服务站,已覆盖
,福建省人民医院,福州市台江区上海街道交通二社区卫生服务站,次选保留
,,福州市台江区义洲街道浦东社区卫生服务站,次选保留
,福建省康复医院,鼓楼区鼓东街道观风亭社区卫生服务站,次选保留
,,鼓楼区温泉街道金汤社区卫生服务站,已覆盖
,福建省立医院南院,仓山区金山街道金麟社区卫生服务站,次选保留
,,仓山区金山街道问需金洲社区卫生服务站,已沟通，准备采购
,,仓山区金山街道水都社区卫生服务站,机构医保额度不足，不承接
,福建省老年医院,晋安区茶园街道环北社区卫生服务站,次选保留
,,鼓楼区华大街道北江社区卫生服务站,次选保留
,,鼓楼区温泉街道汤边社区卫生服务站,已覆盖
,,鼓楼区华大街道思儿亭社区卫生服务站,次选保留
,福建省级机关医院,鼓楼区鼓西街道西湖社区卫生服务站,次选保留
,,鼓楼区鼓东街道观风亭社区卫生服务站,次选保留
,,鼓楼区温泉街道金汤社区卫生服务站,已覆盖
,,鼓楼区鼓东街道开元社区卫生服务站,次选保留
,福建医科大学附属协和医院,鼓楼区东街街道大根社区卫生服务站,作为省立引流备选
,,福州市台江区茶亭街道仁德社区卫生服务站,主选引流，机构确认特殊病种是否可以开具
宁德,宁德师范学院附属宁德市医院,东侨李初西医内科诊所,已覆盖
,,东侨弘济德综合门诊部,已覆盖
,,东侨经济技术开发区北部新区社区卫生服务中心,已覆盖
,古田县医院,古田县城西街道莲桥村卫生所-1,已覆盖
,,古田县城西街道罗华村卫生所-7,已覆盖
,霞浦县医院,霞浦松山春松内科诊所,已覆盖
,,霞浦松港黄友勇中西医结合诊所,已覆盖
,,霞浦县牙城镇田家心村卫生所,已覆盖
,福鼎市医院,福鼎福康企业管理有限公司内科诊所,已覆盖
,,福鼎高定祥中医(综合)诊所,已覆盖
,,福鼎鼎民中医(综合)诊所,已覆盖
,宁德市蕉城区医院,蕉城蕉北陈锋临床内科诊所,已覆盖
,,宁德蕉城蕉南林庆登临床内科诊所,已覆盖
,,蕉城蕉南李育文西医内科诊所,已覆盖
,福鼎市中医院,福鼎陈验弟中西医结合科诊所,已覆盖
,,福鼎桐城博爱内科诊所,已覆盖
,,福鼎康柏家和健康管理有限公司内科诊所,已覆盖
,宁德市闽东医院,福安城南陈仁中医（综合）诊所,已覆盖
,,福安城南陈宗寿中医（综合）诊所,已覆盖
,,福安吴木旺中医(综合)诊所,已覆盖
,寿宁县医院,寿宁鳌阳吴学辉西医诊所,已覆盖
,,寿宁鳌阳王芝淼中医(综合)诊所,已覆盖
,,寿宁鳌阳张辉中医(综合)诊所,已覆盖
,霞浦县中医院,霞浦松城益健安内科诊所,已覆盖
,,霞浦松城卓道暹内科诊所,已覆盖
,,霞浦松港景城内科诊所,已覆盖
,柘荣县医院,柘荣游冬裕内科诊所,已覆盖
,,柘荣吴本铃中西医结合诊所,已覆盖
,,柘荣吴安中中医(综合)诊所,已覆盖
,屏南县总医院(屏南县医院),屏南古峰苏扬西医内科诊所,已覆盖
,,屏南古峰卓家福西医内科诊所,已覆盖
,,屏南古峰张贤强西医内科诊所,已覆盖
,福安市医院,福安赛岐郭跃仁西医内科诊所,已覆盖
,,福安市赛岐镇赛里村卫生室,已覆盖
,,福安刘锐明中医(综合)诊所,已覆盖
,周宁县医院,周宁郭盛内科诊所,已覆盖
,,周宁肖志锦西医内科诊所,已覆盖
,,周宁魏妙华儿科诊所,已覆盖
,福安市人民医院,福安杨樟辉中医(综合)诊所,已覆盖
,,福安城北林忠泽中医（综合）诊所,已覆盖
,,福安城北柳绍崇中医(综合)诊所,已覆盖
,宁德市中医院,东侨平安综合门诊部,已覆盖
